respondentid,seen_bool,fan_bool,seen_1,seen_2,seen_3,seen_4,seen_5,seen_6,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,expanded_universe_aware,expanded_universe_fan,star_trek_fan,gender,age,household_income,education,location
3291042516.0,True,False,True,True,True,True,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3291037640.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291034202.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,False,,False,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic
3291033668.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3291032418.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Female,45-60,"$50,000 - $99,999",High school degree,East North Central
3291029281.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,,Graduate degree,Middle Atlantic
3291028446.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,True,True,False,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3291024297.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,2.0,1.0,3.0,False,,True,Male,> 60,"$0 - $24,999",Graduate degree,Middle Atlantic
3291023456.0,True,True,True,True,True,True,True,True,6.0,2.0,1.0,4.0,5.0,3.0,True,True,True,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West South Central
3291022655.0,True,True,True,True,False,False,True,True,4.0,3.0,6.0,5.0,1.0,2.0,False,,True,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3291022275.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,"$0 - $24,999",Less than high school degree,East North Central
3291022013.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291019033.0,True,True,True,True,True,True,True,True,1.0,5.0,2.0,3.0,4.0,6.0,False,,True,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3291018581.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,,Bachelor degree,East North Central
3291015347.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$0 - $24,999",Bachelor degree,West North Central
3291014757.0,True,True,True,True,True,True,True,True,6.0,3.0,4.0,5.0,2.0,1.0,False,,False,Female,> 60,"$100,000 - $149,999",Graduate degree,Mountain
3291009055.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3291007877.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,2.0,3.0,True,True,True,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3291006540.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3291002672.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,2.0,6.0,1.0,False,,False,Male,45-60,"$150,000+",Some college or Associate degree,East North Central
3291001879.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3290999912.0,True,False,True,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,True,Female,45-60,"$0 - $24,999",Bachelor degree,West South Central
3290998457.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3290996933.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,True,True,False,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
3290994001.0,True,False,True,True,True,True,False,True,5.0,3.0,6.0,1.0,2.0,4.0,True,False,False,Male,18-29,"$0 - $24,999",High school degree,Middle Atlantic
3290992477.0,True,True,True,True,False,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,False,,True,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
3290992371.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
3290987996.0,True,True,True,True,True,True,True,True,6.0,2.0,4.0,3.0,1.0,5.0,True,False,True,Male,30-44,"$0 - $24,999",Graduate degree,Mountain
3290984063.0,True,False,False,False,False,False,True,True,2.0,3.0,4.0,5.0,6.0,1.0,False,,False,Male,45-60,,Some college or Associate degree,South Atlantic
3290980789.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290977827.0,True,False,True,True,True,True,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Male,18-29,,Some college or Associate degree,Pacific
3290976539.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290975724.0,True,True,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,True,Male,> 60,"$50,000 - $99,999",High school degree,Mountain
3290973695.0,True,True,True,True,True,True,True,True,5.0,4.0,6.0,2.0,3.0,1.0,True,False,True,Female,18-29,,Some college or Associate degree,Middle Atlantic
3290973177.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic
3290973120.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,,Some college or Associate degree,East North Central
3290972257.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,True,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3290971794.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,3.0,1.0,2.0,False,,True,Female,45-60,,Graduate degree,East South Central
3290971358.0,True,True,True,True,False,False,False,False,2.0,1.0,3.0,4.0,5.0,6.0,False,,False,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3290965482.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,,Graduate degree,Middle Atlantic
3290961855.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
3290961497.0,True,True,True,True,True,True,True,True,5.0,1.0,6.0,2.0,3.0,4.0,False,,False,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3290953060.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central
3290949606.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290948002.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,True,False,False,Female,> 60,"$0 - $24,999",Graduate degree,South Atlantic
3290947136.0,True,False,True,True,True,True,True,True,1.0,2.0,3.0,5.0,6.0,4.0,False,,True,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
3290947011.0,True,False,True,True,True,True,True,True,5.0,2.0,1.0,4.0,3.0,6.0,False,,True,Male,18-29,"$100,000 - $149,999",High school degree,Middle Atlantic
3290946211.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,,Graduate degree,East North Central
3290944858.0,True,True,True,True,True,True,True,True,3.0,1.0,2.0,4.0,5.0,6.0,False,,True,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Pacific
3290944288.0,True,True,True,True,True,False,True,True,4.0,5.0,6.0,3.0,2.0,1.0,True,False,False,Male,45-60,,Bachelor degree,West North Central
3290941824.0,True,True,True,True,True,False,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,False,,,,,
3290939696.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290934328.0,True,False,False,False,False,True,True,False,1.0,6.0,5.0,3.0,2.0,4.0,False,,False,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
3290929229.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,True,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3290927126.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,,Some college or Associate degree,West South Central
3290926407.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
3290922858.0,True,False,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,True,False,False,Male,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic
3290920752.0,True,False,True,False,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
3290919823.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,True,Female,30-44,,Graduate degree,West South Central
3290919419.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,3.0,1.0,False,,True,Male,45-60,,Bachelor degree,West South Central
3290917153.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,False,,False,Male,30-44,"$150,000+",Graduate degree,East North Central
3290917131.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,,,,,,,,
3290916554.0,True,True,True,True,True,True,True,True,4.0,3.0,5.0,2.0,6.0,1.0,True,True,True,Female,18-29,,Some college or Associate degree,Mountain
3290915885.0,True,True,True,True,True,True,True,True,3.0,6.0,5.0,1.0,4.0,2.0,True,True,True,Male,45-60,,Some college or Associate degree,Pacific
3290912485.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290912014.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,False,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3290910069.0,True,True,True,True,True,True,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,True,Male,45-60,,Some college or Associate degree,New England
3290906086.0,True,True,True,True,False,True,True,True,1.0,3.0,6.0,2.0,4.0,5.0,False,,False,Female,45-60,,Graduate degree,East North Central
3290906022.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,2.0,3.0,1.0,False,,False,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain
3290903423.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,45-60,"$50,000 - $99,999",Graduate degree,Mountain
3290902880.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,1.0,2.0,3.0,False,,False,Female,45-60,"$150,000+",Graduate degree,South Atlantic
3290901027.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,False,,True,Male,45-60,"$0 - $24,999",Graduate degree,East North Central
3290896982.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290893301.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,> 60,"$150,000+",Bachelor degree,East North Central
3290889443.0,True,False,False,True,True,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3290888715.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290888303.0,True,True,True,False,True,True,True,True,4.0,6.0,5.0,2.0,3.0,1.0,False,,True,Male,18-29,,High school degree,East North Central
3290888102.0,True,False,False,True,True,False,False,False,6.0,5.0,3.0,1.0,4.0,2.0,False,,False,Female,45-60,"$25,000 - $49,999",Graduate degree,Mountain
3290888079.0,True,True,True,True,True,True,True,True,2.0,3.0,4.0,5.0,6.0,1.0,False,,True,Female,> 60,,Some college or Associate degree,Middle Atlantic
3290884427.0,True,True,True,True,True,True,False,True,3.0,4.0,5.0,6.0,1.0,2.0,True,False,True,Male,45-60,,Bachelor degree,Pacific
3290881566.0,True,True,True,True,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3290879019.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,True,Female,45-60,"$25,000 - $49,999",Graduate degree,East South Central
3290878766.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,True,True,True,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
3290874545.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,,,
3290873342.0,True,True,True,True,True,True,True,True,6.0,2.0,3.0,4.0,1.0,5.0,True,True,False,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3290871307.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,1.0,2.0,3.0,False,,True,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3290869696.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
3290863729.0,True,True,True,True,True,True,True,True,5.0,6.0,2.0,4.0,1.0,3.0,False,,True,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central
3290863193.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,3.0,2.0,True,False,True,Male,45-60,,Bachelor degree,South Atlantic
3290862050.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290860908.0,True,True,True,True,True,True,True,True,6.0,5.0,3.0,4.0,1.0,2.0,True,False,True,Male,45-60,"$0 - $24,999",Graduate degree,Mountain
3290860842.0,True,False,True,True,True,True,True,True,3.0,4.0,6.0,5.0,1.0,2.0,False,,False,Male,> 60,,Some college or Associate degree,South Atlantic
3290860558.0,True,True,True,True,True,True,True,True,6.0,4.0,3.0,1.0,2.0,5.0,False,,False,Male,30-44,,Bachelor degree,New England
3290858689.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290858543.0,True,True,True,True,True,True,True,True,4.0,3.0,5.0,2.0,1.0,6.0,True,False,True,Male,45-60,"$150,000+",Graduate degree,New England
3290855818.0,True,True,True,True,True,True,True,True,5.0,6.0,4.0,1.0,2.0,3.0,True,True,True,Male,45-60,,High school degree,East North Central
3290854802.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,True,True,False,Male,30-44,"$0 - $24,999",High school degree,Pacific
3290853559.0,True,False,True,True,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,True,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3290853267.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290852271.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$0 - $24,999",Graduate degree,Middle Atlantic
3290848617.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,True,Male,45-60,"$100,000 - $149,999",Bachelor degree,West South Central
3290846848.0,True,True,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3290846769.0,True,False,False,False,True,False,False,True,3.0,4.0,1.0,5.0,6.0,2.0,False,,False,Female,18-29,,Bachelor degree,New England
3290846466.0,True,True,True,True,True,True,True,True,1.0,6.0,5.0,2.0,4.0,3.0,False,,True,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic
3290845752.0,True,True,True,False,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
3290845367.0,True,True,True,True,True,True,True,True,5.0,4.0,6.0,1.0,3.0,2.0,True,False,True,Male,30-44,"$0 - $24,999",High school degree,South Atlantic
3290845046.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,False,,True,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central
3290844577.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3290841815.0,True,False,False,False,False,True,True,True,4.0,5.0,6.0,2.0,1.0,3.0,False,,False,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central
3290840905.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3290836653.0,True,False,True,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,False,Female,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3290834007.0,True,False,False,False,False,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,True,,,,,
3290829888.0,True,False,False,False,False,True,True,True,6.0,4.0,5.0,1.0,2.0,3.0,False,,True,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3290828902.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,,Graduate degree,South Atlantic
3290824340.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,"$150,000+",Some college or Associate degree,Pacific
3290821620.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3290819415.0,True,False,True,True,True,False,True,True,3.0,5.0,4.0,6.0,1.0,2.0,False,,False,Male,30-44,"$0 - $24,999",Some college or Associate degree,South Atlantic
3290815080.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3290812610.0,True,False,False,False,False,False,True,False,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central
3290810177.0,True,True,False,False,True,True,True,True,6.0,5.0,4.0,1.0,2.0,3.0,False,,True,Female,30-44,"$50,000 - $99,999",Graduate degree,East South Central
3290810023.0,True,False,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,18-29,"$0 - $24,999",Graduate degree,East North Central
3290807769.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3290806200.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,,,,,,,,
3290805125.0,True,False,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,45-60,"$150,000+",Graduate degree,South Atlantic
3290804128.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290804008.0,True,True,True,True,True,True,True,True,4.0,2.0,3.0,5.0,6.0,1.0,True,False,True,Male,45-60,,Bachelor degree,Mountain
3290799403.0,True,False,False,False,False,True,False,False,1.0,2.0,3.0,4.0,5.0,6.0,True,False,True,Male,45-60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3290798641.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Mountain
3290798064.0,True,True,True,True,True,True,True,True,4.0,3.0,1.0,6.0,5.0,2.0,False,,True,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3290796650.0,True,True,True,True,False,False,True,True,2.0,4.0,5.0,6.0,3.0,1.0,False,,True,Female,45-60,,Bachelor degree,West North Central
3290792507.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,False,,True,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
3290787286.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,False,Female,18-29,,Less than high school degree,Pacific
3290785928.0,True,True,True,True,True,True,True,True,3.0,1.0,2.0,6.0,5.0,4.0,False,,False,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3290782952.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,"$25,000 - $49,999",High school degree,Middle Atlantic
3290781544.0,True,True,True,True,True,True,True,True,5.0,6.0,3.0,1.0,4.0,2.0,False,,True,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
3290781284.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290781039.0,True,True,True,True,True,False,True,True,1.0,5.0,4.0,6.0,2.0,3.0,False,,True,Male,> 60,"$100,000 - $149,999",Bachelor degree,West South Central
3290779524.0,True,True,True,False,False,False,True,True,3.0,4.0,5.0,6.0,2.0,1.0,False,,True,Female,45-60,"$25,000 - $49,999",Bachelor degree,West South Central
3290779140.0,True,False,True,False,True,False,True,True,2.0,3.0,4.0,5.0,6.0,1.0,False,,False,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3290778828.0,True,False,True,False,False,False,True,False,1.0,3.0,4.0,5.0,2.0,6.0,False,,False,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3290777129.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290773277.0,True,True,True,True,True,True,True,True,6.0,4.0,5.0,2.0,1.0,3.0,True,True,True,Male,30-44,"$150,000+",Bachelor degree,South Atlantic
3290769012.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West South Central
3290767951.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290767535.0,True,False,False,False,False,False,True,True,4.0,3.0,5.0,6.0,2.0,1.0,False,,False,Male,45-60,"$150,000+",Graduate degree,East North Central
3290765210.0,False,False,False,False,False,False,False,False,,,,,,,,,True,Male,45-60,"$0 - $24,999",High school degree,Middle Atlantic
3290762924.0,True,False,False,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,False,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central
3290761823.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$0 - $24,999",High school degree,Pacific
3290760722.0,True,True,False,False,False,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,True,Female,45-60,,Some college or Associate degree,East North Central
3290759512.0,True,True,False,False,True,False,True,True,5.0,4.0,3.0,6.0,1.0,2.0,False,,True,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3290758362.0,True,True,True,True,True,True,True,True,5.0,3.0,6.0,4.0,2.0,1.0,True,False,False,Male,18-29,,Some college or Associate degree,Middle Atlantic
3290757230.0,True,False,True,False,False,False,False,False,4.0,1.0,2.0,3.0,5.0,6.0,False,,False,Female,18-29,"$25,000 - $49,999",High school degree,Pacific
3290756394.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Female,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3290755451.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,True,Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central
3290753390.0,True,False,True,True,True,False,True,True,5.0,3.0,4.0,6.0,2.0,1.0,True,True,True,Male,45-60,"$0 - $24,999",Some college or Associate degree,New England
3290749764.0,True,True,True,True,True,True,True,True,4.0,6.0,3.0,2.0,5.0,1.0,True,True,True,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic
3290749229.0,True,False,False,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,False,Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central
3290746853.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,True,True,True,Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic
3290744027.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290741994.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,True,True,True,Male,30-44,,Some college or Associate degree,Mountain
3290741405.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,True,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3290740448.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,False,,True,Female,45-60,"$150,000+",Bachelor degree,Mountain
3290739967.0,True,True,True,True,True,True,True,True,2.0,3.0,4.0,5.0,6.0,1.0,True,False,False,Female,45-60,,High school degree,West North Central
3290739235.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
3290738262.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,> 60,"$25,000 - $49,999",High school degree,East South Central
3290737104.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,30-44,"$0 - $24,999",Some college or Associate degree,East North Central
3290736072.0,True,True,True,True,True,True,True,True,4.0,6.0,5.0,3.0,2.0,1.0,True,True,False,Male,45-60,"$150,000+",Bachelor degree,Pacific
3290734874.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,False,,False,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central
3290733932.0,True,False,True,False,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
3290733316.0,True,True,True,True,True,False,True,True,2.0,3.0,4.0,5.0,1.0,6.0,False,,True,Female,45-60,"$25,000 - $49,999",Bachelor degree,East North Central
3290732383.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,False,,False,Male,30-44,"$50,000 - $99,999",High school degree,Mountain
3290727763.0,True,True,True,True,True,True,True,True,6.0,5.0,1.0,4.0,3.0,2.0,False,,False,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3290726075.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,1.0,2.0,False,,True,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,New England
3290719847.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290718359.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290717899.0,True,True,True,True,True,True,True,True,4.0,5.0,3.0,6.0,1.0,2.0,False,,True,Male,45-60,"$150,000+",Bachelor degree,East North Central
3290717372.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Female,45-60,"$25,000 - $49,999",Graduate degree,East South Central
3290714941.0,True,False,True,True,True,True,True,True,3.0,2.0,1.0,6.0,4.0,5.0,False,,False,Male,30-44,"$0 - $24,999",High school degree,West South Central
3290714484.0,True,True,True,True,True,False,True,True,4.0,3.0,5.0,6.0,1.0,2.0,True,False,True,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
3290714430.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,45-60,"$0 - $24,999",Some college or Associate degree,West South Central
3290714378.0,True,True,True,True,True,True,True,True,3.0,4.0,5.0,1.0,2.0,6.0,False,,True,Female,> 60,"$50,000 - $99,999",Graduate degree,Mountain
3290712204.0,True,False,True,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Male,45-60,"$100,000 - $149,999",High school degree,East North Central
3290711898.0,False,False,False,False,False,False,False,False,,,,,,,,,False,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central
3290711882.0,True,False,False,True,True,False,False,False,6.0,3.0,5.0,4.0,1.0,2.0,False,,True,Female,18-29,,Some college or Associate degree,South Atlantic
3290711757.0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290711487.0,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,1.0,2.0,False,,False,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3290711262.0,True,False,True,True,True,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,True,False,False,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central
3290708664.0,True,False,False,False,False,False,True,True,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Female,> 60,"$0 - $24,999",Bachelor degree,South Atlantic
3290707402.0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3290706716.0,True,False,True,False,True,False,True,True,4.0,5.0,3.0,6.0,1.0,2.0,False,,False,Male,> 60,"$100,000 - $149,999",Bachelor degree,West South Central
3290706611.0,True,False,True,False,False,False,True,False,2.0,3.0,4.0,5.0,1.0,6.0,False,,False,Female,18-29,"$25,000 - $49,999",Graduate degree,South Atlantic
